source_recipe_id,source_ingredient_text,normalized_concept,existing_food_ingredient_code,resolution_status,missing_reason
CACFP6-CORN-EDAMAME-BLEND,1 tsp Sesame oil,sesame_oil,SESAME_OIL,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"⅔ cup or 3 oz Fresh onions, chopped",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"2 tsp Garlic, minced",garlic,GARLIC,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"⅔ cup or 5 oz Frozen corn, thawed, drained",corn_sweet,CORN_SWEET,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"1 cup or 6 oz Frozen edamame, thawed, drained",edamame_frozen,EDAMAME_FROZEN,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"1 ½ cups or 6 oz Fresh carrots, shredded",carrot,CARROT,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,¼ tsp Ground coriander seeds,coriander_seed,CORIANDER_SEED,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,1 tsp Toasted sesame seeds,sesame_seeds,SESAME_SEEDS,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,¼ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-CORN-EDAMAME-BLEND,"¼ cup or ½ oz Fresh cilantro, chopped",cilantro,CILANTRO,RESOLVED_EXISTING,
CACFP6-LOCAL-HARVEST-BAKE,"2 cups or 8 oz Fresh butternut squash, peeled, cubed",butternut_squash,BUTTERNUT_SQUASH,RESOLVED_EXISTING,
CACFP6-LOCAL-HARVEST-BAKE,"2 cups or 8 oz Fresh beets, peeled, cubed",beet,BEET,RESOLVED_EXISTING,
CACFP6-LOCAL-HARVEST-BAKE,"2 cups or 8 oz Fresh sweet potatoes, peeled, cubed",sweet_potato,SWEET_POTATO,RESOLVED_EXISTING,
CACFP6-LOCAL-HARVEST-BAKE,1 Tbsp Olive oil,olive_oil,OLIVE_OIL,RESOLVED_EXISTING,
CACFP6-LOCAL-HARVEST-BAKE,¼ tsp Kosher salt or iodized salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-LOCAL-HARVEST-BAKE,"¾ tsp Fresh garlic, minced",garlic,GARLIC,RESOLVED_EXISTING,
CACFP6-LOCAL-HARVEST-BAKE,½ tsp Dried parsley (optional),parsley_dried,PARSLEY_DRIED,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,"½ oz or ⅛ cup Margarine, trans-fat free",margarine,MARGARINE,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,"½ cup or 3 ⅛ oz Brown sugar, packed",brown_sugar,BROWN_SUGAR,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,"¼ cup Orange juice concentrate, frozen, thawed",orange_juice_concentrate,ORANGE_JUICE_CONCENTRATE,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,¼ cup Water,water,WATER,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,⅔ tsp Vanilla extract,vanilla_extract,VANILLA_EXTRACT,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,¼ tsp Ground cinnamon,cinnamon_ground,CINNAMON_GROUND,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,¼ tsp Ground nutmeg,nutmeg_ground,NUTMEG_GROUND,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,"3 ⅓ cups or 1 ¼ lb Frozen carrots, thawed, sliced, drained",carrot,CARROT,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,⅓ cup or 2 oz Dried cranberries,cranberries_dried,CRANBERRIES_DRIED,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,"½ cup or 3 oz Canned pineapple tidbits, undrained",pineapple_canned_juice,PINEAPPLE_CANNED_JUICE,RESOLVED_EXISTING,
CACFP6-ORANGE-GLAZED-CARROTS,1 ¼ tsp Cornstarch,cornstarch,CORNSTARCH,RESOLVED_EXISTING,
CACFP6-PIZZA-GREEN-BEANS,"2 cups or 8 ¼ oz Canned no-salt-added diced tomatoes, drained",tomato_canned_no_salt,TOMATO_CANNED_NO_SALT,RESOLVED_EXISTING,
CACFP6-PIZZA-GREEN-BEANS,"1 qt or 1 lb 11 oz Canned no-salt-added green beans, with liquid",green_beans_canned_no_salt,GREEN_BEANS_CANNED_NO_SALT,RESOLVED_EXISTING,
CACFP6-PIZZA-GREEN-BEANS,⅛ cup Dried oregano,oregano_dried,OREGANO_DRIED,RESOLVED_EXISTING,
CACFP6-PIZZA-GREEN-BEANS,"1 ½ tsp Fresh garlic, minced",garlic,GARLIC,RESOLVED_EXISTING,
CACFP6-PIZZA-GREEN-BEANS,⅛ tsp Ground black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
CACFP6-PIZZA-GREEN-BEANS,½ tsp Kosher salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-SAUTEED-SPINACH-TOMATOES,"1 Tbsp Margarine, trans-fat free",margarine,MARGARINE,RESOLVED_EXISTING,
CACFP6-SAUTEED-SPINACH-TOMATOES,"¼ cup or 1 ½ oz Fresh onions, diced",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
CACFP6-SAUTEED-SPINACH-TOMATOES,"½ cup or 1 ½ oz Fresh red bell pepper, diced",bell_pepper_red,BELL_PEPPER_RED,RESOLVED_EXISTING,
CACFP6-SAUTEED-SPINACH-TOMATOES,"2 tsp Garlic, minced",garlic,GARLIC,RESOLVED_EXISTING,
CACFP6-SAUTEED-SPINACH-TOMATOES,"2 tsp Fresh ginger, chopped OR ½ tsp ground ginger (fresh selected)",ginger,GINGER,RESOLVED_EXISTING,
CACFP6-SAUTEED-SPINACH-TOMATOES,¼ tsp Red pepper flakes,red_pepper_flakes,RED_PEPPER_FLAKES,RESOLVED_EXISTING,
CACFP6-SAUTEED-SPINACH-TOMATOES,12 oz Fresh spinach leaves,spinach,SPINACH,RESOLVED_EXISTING,
CACFP6-SAUTEED-SPINACH-TOMATOES,2 oz Canned no-salt-added tomato paste,tomato_paste_no_salt,TOMATO_PASTE_NO_SALT,RESOLVED_EXISTING,
CACFP6-SAUTEED-SPINACH-TOMATOES,¼ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,2 Tbsp or ¼ oz Fresh cilantro,cilantro,CILANTRO,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,"1 cup or 4 oz Fresh onions, chopped",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,"1 cup or 5 ½ oz Fresh green peppers, chopped",bell_pepper_green,BELL_PEPPER_GREEN,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,"½ tsp Fresh garlic cloves, minced",garlic,GARLIC,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,2 tsp Canola oil,canola_oil,CANOLA_OIL,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,"¼ cup or 4 oz Fresh celery, chopped",celery,CELERY,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,1 ⅓ cups or 5 ½ oz Frozen corn,corn_sweet,CORN_SWEET,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,½ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,¼ tsp Ground black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,½ tsp Chili powder,chili_powder,CHILI_POWDER,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,1 tsp Ground cumin,cumin_ground,CUMIN_GROUND,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,½ tsp Paprika,paprika,PAPRIKA,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,⅛ tsp Onion powder,onion_powder,ONION_POWDER,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,⅛ tsp Cinnamon,cinnamon_ground,CINNAMON_GROUND,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,¼ tsp Garlic powder,garlic_powder,GARLIC_POWDER,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,¼ tsp Oregano,oregano_dried,OREGANO_DRIED,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,1 cup Low-sodium beef broth,beef_broth_low_sodium,BEEF_BROTH_LOW_SODIUM,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,2 Tbsp or 1 ½ oz Canned no-salt-added tomato paste,tomato_paste_no_salt,TOMATO_PASTE_NO_SALT,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,"⅓ cup or 2 ½ oz Canned no-salt-added diced tomatoes, undrained",tomato_canned_no_salt,TOMATO_CANNED_NO_SALT,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,"1 cup or 7 oz Brown rice, long-grain, regular, dry, parboiled",rice_brown,RICE_BROWN,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,1 cup Water,water,WATER,RESOLVED_EXISTING,
CACFP6-SPANISH-RICE,1 fresh lime OR 1 Tbsp lime juice (juice selected),lime_juice,LIME_JUICE,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"⅓ cup or 3 oz Quinoa, dry",quinoa,QUINOA,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"½ cup or 3 oz Bulgur wheat, dry",bulgur,BULGUR,RESOLVED_EXISTING,
CACFP6-TABBOULEH,1 ⅓ cups or 11 oz Water,water,WATER,RESOLVED_EXISTING,
CACFP6-TABBOULEH,½ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"1 ½ cups or 9 ⅓ oz Fresh tomatoes, unpeeled, diced",tomato,TOMATO,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"1 cup or 4 ¾ oz Fresh cucumbers, peeled, seeded, diced",cucumber,CUCUMBER,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"¼ cup or ½ oz Fresh parsley, chopped",parsley,PARSLEY,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"¼ cup or 1 ½ oz Fresh onions, diced",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"¼ cup or 1 ¼ oz Fresh red bell peppers, diced",bell_pepper_red,BELL_PEPPER_RED,RESOLVED_EXISTING,
CACFP6-TABBOULEH,"¼ tsp Fresh mint, chopped",mint_fresh,MINT_FRESH,RESOLVED_EXISTING,
CACFP6-TABBOULEH,¼ tsp Ground cumin,cumin_ground,CUMIN_GROUND,RESOLVED_EXISTING,
CACFP6-TABBOULEH,¼ cup or 2 oz Lemon juice,lemon,LEMON,RESOLVED_EXISTING,
CACFP6-TABBOULEH,2 ¼ tsp Olive oil,olive_oil,OLIVE_OIL,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,"7 oz Frozen chicken strips, cooked, thawed",chicken_breast_cooked,CHICKEN_BREAST_COOKED,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,½ tsp Ground black or white pepper (black selected),black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,½ tsp Garlic powder,garlic_powder,GARLIC_POWDER,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,1 tsp Chili powder,chili_powder,CHILI_POWDER,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,1 tsp Ground cumin,cumin_ground,CUMIN_GROUND,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,¼ tsp Dried oregano,oregano_dried,OREGANO_DRIED,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,1 Tbsp Ancho chili powder OR Mexican seasoning mix (ancho selected),ancho_chili_powder,ANCHO_CHILI_POWDER,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,"½ cup or 3 oz Red bell pepper, sliced",bell_pepper_red,BELL_PEPPER_RED,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,"½ cup or 3 oz Fresh green bell peppers, sliced",bell_pepper_green,BELL_PEPPER_GREEN,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,"½ cup or 2 oz Fresh onions, sliced",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,"1 ¼ cups or 8 oz Frozen corn, thawed, drained",corn_sweet,CORN_SWEET,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,"½ cup or 3 ½ oz Canned no-salt-added tomatoes, diced, drained",tomato_canned_no_salt,TOMATO_CANNED_NO_SALT,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,½ cup or 3 ½ oz Canned low-sodium salsa,salsa_low_sodium,SALSA,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,1 tsp Sugar,sugar,SUGAR,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,⅛ cup or 2 Tbsp Canola oil,canola_oil,CANOLA_OIL,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,¼ tsp Paprika,paprika,PAPRIKA,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,¼ cup or 2 oz Fresh lime OR ¼ cup fresh lime juice (juice selected),lime_juice,LIME_JUICE,RESOLVED_EXISTING,
CACFP6-CHICKEN-FAJITA,"6 Whole-grain tortillas, 1 oz each",tortilla_whole_wheat,TORTILLA_WHOLE_WHEAT,RESOLVED_EXISTING,
CACFP6-HONEY-LIME-CHICKEN,"1 lb 7 oz Raw chicken thighs, boneless, skinless",chicken_thigh,CHICKEN_THIGH,RESOLVED_EXISTING,
CACFP6-HONEY-LIME-CHICKEN,⅓ cup or 3 ½ oz Honey,honey,HONEY,RESOLVED_EXISTING,
CACFP6-HONEY-LIME-CHICKEN,¼ cup or 2 oz Fresh lime juice,lime_juice,LIME_JUICE,RESOLVED_EXISTING,
CACFP6-HONEY-LIME-CHICKEN,½ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-HONEY-LIME-CHICKEN,¼ tsp Ground black or white pepper (black selected),black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
CACFP6-HONEY-LIME-CHICKEN,⅛ cup Lime zest,lime_zest,LIME,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,2 cups Low-sodium chicken broth,chicken_broth_low_sodium,CHICKEN_BROTH_LOW_SODIUM,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,"1 cup or 7 oz Brown rice, uncooked, long-grain, regular, dry, parboiled",rice_brown,RICE_BROWN,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,"1 Tbsp Margarine, trans-fat free",margarine,MARGARINE,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,"¾ cup or 5 oz Fresh onions, diced",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,"3 cups or 5 oz Fresh mushrooms, sliced",mushroom_white,MUSHROOM_WHITE,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,"1 tsp Garlic, minced",garlic,GARLIC,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,¼ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,¼ tsp Ground black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,¼ tsp Onion powder,onion_powder,ONION_POWDER,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,1 Tbsp and 1 tsp Whole-wheat flour,flour_whole_wheat,FLOUR_WHOLE_WHEAT,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,¾ cup or 6 oz Low-fat (1%) milk,milk_1_percent,MILK_1_PERCENT,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,"1 qt or 4 oz Fresh kale, finely chopped",kale,KALE,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,"1 cup or 4 oz Low-fat cheddar cheese, shredded",cheese_cheddar_reduced_fat,CHEESE_CHEDDAR_REDUCED_FAT,RESOLVED_EXISTING,
CACFP6-RICE-VEGETABLE-CASSEROLE,"¾ cup or 3 oz Low-fat mozzarella cheese, low-moisture, part-skim, shredded",cheese_mozzarella_part_skim,CHEESE_MOZZARELLA_PART_SKIM,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,1 tsp or ¼ oz Canola oil,canola_oil,CANOLA_OIL,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,"½ cup or 3 oz Fresh onions, diced",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,"½ cup or 2 oz Fresh green bell peppers, diced",bell_pepper_green,BELL_PEPPER_GREEN,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,"⅛ cup or ¼ oz Fresh jalapeño peppers, seeded, diced",jalapeno,JALAPENO,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,¼ cup Chili powder,chili_powder,CHILI_POWDER,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,⅛ tsp Ground cumin,cumin_ground,CUMIN_GROUND,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,½ tsp Garlic powder,garlic_powder,GARLIC_POWDER,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,2 ¼ tsp or ¼ oz Ancho chili powder OR Mexican seasoning mix (ancho selected),ancho_chili_powder,ANCHO_CHILI_POWDER,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,¼ tsp Onion powder,onion_powder,ONION_POWDER,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,⅛ tsp Red hot sauce (optional),hot_sauce,HOT_SAUCE,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,2 tsp or ½ oz Brown sugar,brown_sugar,BROWN_SUGAR,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,"1 ½ cups or 12 ¼ oz Canned no-salt-added crushed tomatoes, undrained",tomato_crushed_no_salt,TOMATO_CRUSHED,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,"½ cup or 5 oz Canned no-salt-added diced tomatoes, undrained",tomato_canned_no_salt,TOMATO_CANNED_NO_SALT,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,"1 ½ cups or 11 oz Canned low-sodium kidney beans OR dry kidney beans, cooked (canned selected)",kidney_beans_canned,KIDNEY_BEANS_CANNED_LOW_SODIUM,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,"⅓ cup or 2 oz Bulgur wheat, dry",bulgur,BULGUR,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,¼ cup or 2 oz Low-sodium vegetable broth,vegetable_broth_low_sodium,VEGETABLE_BROTH,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,⅔ cup or 6 oz Water,water,WATER,RESOLVED_EXISTING,
CACFP6-VEGETABLE-CHILI,¾ cup or 4 oz Low-fat sour cream,sour_cream_low_fat,SOUR_CREAM_LOW_FAT,RESOLVED_EXISTING,
CACFP6-VEGETABLE-FRITTATA,"1 ½ cups or 4 oz Fresh mushrooms, coarsely chopped",mushroom_white,MUSHROOM_WHITE,RESOLVED_EXISTING,
CACFP6-VEGETABLE-FRITTATA,"1 cup or 4 oz Fresh onions, diced",onion_yellow,ONION_YELLOW,RESOLVED_EXISTING,
CACFP6-VEGETABLE-FRITTATA,"1 cup or 4 oz Fresh red bell peppers, diced",bell_pepper_red,BELL_PEPPER_RED,RESOLVED_EXISTING,
CACFP6-VEGETABLE-FRITTATA,½ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-VEGETABLE-FRITTATA,¼ tsp Ground black pepper,black_pepper,BLACK_PEPPER,RESOLVED_EXISTING,
CACFP6-VEGETABLE-FRITTATA,"2 cups or 4 oz Fresh spinach, coarsely chopped",spinach,SPINACH,RESOLVED_EXISTING,
CACFP6-VEGETABLE-FRITTATA,"⅓ cup or 1 oz Low-fat cheddar cheese, shredded",cheese_cheddar_reduced_fat,CHEESE_CHEDDAR_REDUCED_FAT,RESOLVED_EXISTING,
CACFP6-VEGETABLE-FRITTATA,¼ cup Skim milk,milk_skim,MILK_SKIM,RESOLVED_EXISTING,
CACFP6-VEGETABLE-FRITTATA,3 eggs or 6 oz Liquid eggs,egg,EGG,RESOLVED_EXISTING,
CACFP6-VEGETABLE-FRITTATA,½ cup or 2 oz Whole-wheat flour,flour_whole_wheat,FLOUR_WHOLE_WHEAT,RESOLVED_EXISTING,
CACFP6-CARROT-RAISIN-SALAD,"⅔ cup or 5 oz Low-fat yogurt, plain",yogurt_plain_low_fat,YOGURT_PLAIN_LOW_FAT,RESOLVED_EXISTING,
CACFP6-CARROT-RAISIN-SALAD,¼ cup or 2 oz Low-fat mayonnaise,mayonnaise_low_fat,MAYONNAISE_LOW_FAT,RESOLVED_EXISTING,
CACFP6-CARROT-RAISIN-SALAD,¼ tsp Salt,salt,SALT,RESOLVED_EXISTING,
CACFP6-CARROT-RAISIN-SALAD,⅛ tsp Ground nutmeg,nutmeg_ground,NUTMEG_GROUND,RESOLVED_EXISTING,
CACFP6-CARROT-RAISIN-SALAD,1 Tbsp plus 1 ½ tsp Apple cider vinegar,apple_cider_vinegar,APPLE_CIDER_VINEGAR,RESOLVED_EXISTING,
