canonical_code,canonical_name,category_code,default_unit,density_g_per_ml,edible_fraction,allergens_reviewed,storage_profile_code
MUSHROOM_WHITE,Шампиньоны,vegetables,g,,,false,
ARUGULA,Руккола,vegetables,g,,,false,
PARSLEY,Петрушка свежая,herbs_spices,g,,,false,
CILANTRO,Кориандр свежий,herbs_spices,g,,,false,
DILL_DRIED,Укроп сушёный,herbs_spices,g,,,false,
APPLE,Яблоко,fruit,g,,,false,
BANANA,Банан,fruit,g,,,false,
ORANGE,Апельсин,fruit,g,,,false,
MANDARIN,Мандарин,fruit,g,,,false,
LEMON,Лимон,fruit,g,,,false,
PEAR,Груша,fruit,g,,,false,
PEACH,Персик,fruit,g,,,false,
APRICOT,Абрикос,fruit,g,,,false,
PLUM,Слива,fruit,g,,,false,
GRAPES_RED,Виноград красный,fruit,g,,,false,
STRAWBERRY,Клубника,fruit,g,,,false,
RASPBERRY,Малина,fruit,g,,,false,
BLUEBERRY,Голубика,fruit,g,,,false,
CHERRY_SWEET,Черешня,fruit,g,,,false,
PINEAPPLE,Ананас,fruit,g,,,false,
CHICKEN_BREAST,Грудка куриная без кожи,poultry,g,,,false,
CHICKEN_THIGH,Бедро куриное без кожи,poultry,g,,,false,
TURKEY_GROUND_93,Фарш из индейки 93%,poultry,g,,,false,
BEEF_GROUND_90,Фарш говяжий 90%,meat,g,,,false,
BEEF_TOP_ROUND,Говядина верхняя часть бедра,meat,g,,,false,
PORK_LOIN,Свинина корейка без кости,meat,g,,,false,
PORK_TENDERLOIN,Свиная вырезка,meat,g,,,false,
EGG,Яйцо куриное целое,eggs,g,,,false,
SALMON_ATLANTIC,Лосось атлантический сырой,fish_seafood,g,,,false,
COD_ATLANTIC,Треска атлантическая сырая,fish_seafood,g,,,false,
POLLOCK_ALASKA,Минтай сырой,fish_seafood,g,,,false,
TUNA_CANNED_WATER,Тунец консервированный в воде,fish_seafood,g,,,false,
SHRIMP_RAW,Креветки сырые,fish_seafood,g,,,false,
TILAPIA_RAW,Тилапия сырая,fish_seafood,g,,,false,
MILK_WHOLE,"Молоко цельное 3,25%",dairy,g,,,false,
MILK_2,Молоко 2%,dairy,g,,,false,
YOGURT_PLAIN_WHOLE,Йогурт натуральный цельномолочный,dairy,g,,,false,
YOGURT_GREEK_NONFAT,Йогурт греческий обезжиренный,dairy,g,,,false,
COTTAGE_CHEESE_FULL_FAT,Творог зернёный жирный,dairy,g,,,false,
CHEESE_CHEDDAR,Сыр чеддер,dairy,g,,,false,
SOUR_CREAM_FULL_FAT,Сметана жирная,dairy,g,,,false,
OLIVE_OIL,Масло оливковое,fats_oils,g,,,false,
SUNFLOWER_OIL,Масло подсолнечное,fats_oils,g,,,false,
BUTTER_UNSALTED,Масло сливочное несолёное,fats_oils,g,,,false,
SALT,Соль поваренная,staples,g,,,false,
BLACK_PEPPER,Перец чёрный молотый,herbs_spices,g,,,false,
