external_ingredient_id,external_name,external_exactness_tier,map_state,familyfoodos_food_code,mapping_confidence,nutrition_profile_promoted
ING-0315,Соус красный с кореньями №833,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0316,Соус белый с яйцом №845,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0317,Соус белый с овощами №846,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0318,Соус грибной с томатом №869,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0319,Каша рассыпчатая №744,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0320,Картофель отварной №757,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0321,Овощи отварные с жиром №765,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0322,Рис припущенный №748,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0323,Овощи в молочном соусе №767,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0324,Гарнир сложный №800,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0325,Орехи (ядро),UNRESOLVED,UNRESOLVED,,HIGH,NO
ING-0326,Соус №860,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0327,Соус №902,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0328,Соус №904,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0329,Щука,B_PARTIAL_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0330,Мерланг,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0331,Ледяная рыба,B_PARTIAL_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0332,Сазан,B_PARTIAL_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0333,Кабан-рыба,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0334,Ставрида океаническая,C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0335,Сливки,C_PROXY,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0336,Яблоки моченые,UNRESOLVED,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0337,Слива маринованная,UNRESOLVED,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0338,Вишня маринованная,UNRESOLVED,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0339,Гвоздика,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0340,Соус паровой №853,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0341,Соус белое вино №855,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0342,Гарнир №779–781,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0343,Рис отварной №747,C_INTERNAL_VARIANT,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0344,Тесто для оладий №1084,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0345,Мед,B_PARTIAL_REFERENCE,EXACT_EXISTING,HONEY,HIGH,NO
ING-0346,Варенье,UNRESOLVED,UNRESOLVED,,HIGH,NO
ING-0347,Рафинадная пудра,UNRESOLVED,ALIAS_EXISTING,SUGAR,HIGH,NO
ING-0348,Творог (неуточненная жирность),C_PROXY,UNRESOLVED,,HIGH,NO
V21-EGGPLANT,Баклажаны,A_REFERENCE,ALIAS_EXISTING,EGGPLANT,HIGH,NO
V21-BRISKET,Грудинка копченая (proxy bacon pork),C_PROXY,FORM_SPLIT_CANDIDATE,,HIGH,NO
V21-TARRAGON,Эстрагон (зелень),C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0156-FRESH,Алыча свежая,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0156-DRIED,Алыча сушеная,UNRESOLVED,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0247-APPLE,Суп из яблок консервированный,B_PARTIAL_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0247-APRICOT,Суп из абрикосов консервированный,B_PARTIAL_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0247-PLUM,Суп из слив консервированный,A_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0247-QUINCE,Суп из айвы консервированный,B_PARTIAL_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0261-FRESH_COB,Кукуруза свежая в початках,A_REFERENCE,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0261-MILK_RIPE,Кукуруза молочной спелости,B_MULTI_SOURCE_REFERENCE,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0261-CANNED,Кукуруза консервированная,A_REFERENCE,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0269-I,Картофель жареный №353 — вариант I,C_INTERNAL_NORMATIVE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0269-II_III,Картофель жареный №353 — варианты II/III,C_INTERNAL_NORMATIVE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0270-I,Картофель жареный №354 — вариант I,C_INTERNAL_NORMATIVE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0270-II_III,Картофель жареный №354 — варианты II/III,C_INTERNAL_NORMATIVE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
