external_ingredient_id,external_name,external_exactness_tier,map_state,familyfoodos_food_code,mapping_confidence,nutrition_profile_promoted
ING-0205,Треска горячего копчения,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0206,Окунь морской горячего копчения,B_MULTI_SOURCE_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0207,Укроп,C_PROXY,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0208,Севрюга,B_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0209,Крупа кукурузная,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0210,Крупа ячневая,B_MULTI_SOURCE_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0211,Бульон мясной прозрачный №279,B_PROCESS_OUTPUT_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0212,Бульон из кур/индеек прозрачный №280,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0213,Рыбный бульон (уха) №292,B_PROCESS_OUTPUT_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0214,Овощи №283 (гарнир),C_INTERNAL_NORMATIVE_FAMILY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0215,Овощи и зелень №284 (гарнир),C_INTERNAL_NORMATIVE_FAMILY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0216,Горох зеленый сушеный,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0218,Рыба отварная (готовая масса),UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0219,Мясо/птица готовые (масса),UNRESOLVED,UNRESOLVED,,HIGH,NO
ING-0220,Сметана (неуточненная жирность),C_PROXY,UNRESOLVED,,HIGH,NO
ING-0221,Хрен (корень),A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0222,Саго,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0223,Хлопья пшеничные или кукурузные,UNRESOLVED,UNRESOLVED,,HIGH,NO
ING-0224,Вареники №1080,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0225,Пудинг рисовый или манный №424,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0226,Запеканка манная №419,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0227,Груша,A_REFERENCE,EXACT_EXISTING,PEAR,HIGH,NO
ING-0228,Слива,A_REFERENCE,EXACT_EXISTING,PLUM,HIGH,NO
ING-0229,Крахмал картофельный,B_MULTI_SOURCE_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0230,Корица,A_REFERENCE,ALIAS_EXISTING,CINNAMON_GROUND,HIGH,NO
ING-0231,Апельсин,A_REFERENCE,EXACT_EXISTING,ORANGE,HIGH,NO
ING-0232,Мандарин,A_REFERENCE,EXACT_EXISTING,MANDARIN,HIGH,NO
ING-0233,Вино виноградное,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0234,Яблоки сушеные,A_REFERENCE,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0235,Груши сушеные,A_REFERENCE,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0236,Курага,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0237,Урюк,B_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0238,Ревень,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0239,Малина,A_REFERENCE,EXACT_EXISTING,RASPBERRY,HIGH,NO
ING-0240,Земляника садовая,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0241,Черника,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0242,Вишня,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0243,Черешня,A_REFERENCE,EXACT_EXISTING,CHERRY_SWEET,HIGH,NO
ING-0244,Персик,A_REFERENCE,EXACT_EXISTING,PEACH,HIGH,NO
ING-0245,Абрикос,A_REFERENCE,EXACT_EXISTING,APRICOT,HIGH,NO
ING-0246,Клюква,A_REFERENCE,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0247,Суп фруктовый консервированный (полуфабрикат),STRUCTURAL_PARENT,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0248,Пиво Жигулевское,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0249,Кролик,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0250,Соус красный основной №824,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0251,Соус томатный №848,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0252,Соус молочный средней густоты №861,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0253,Соус сметанный с томатом №864,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0254,Соус сметанный с луком №865,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0255,Соус грибной №868,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0256,Соус красный с луком и огурцами №828,B_MULTI_SOURCE_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0257,Соус голландский с уксусом №872,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0258,Соус яичный сладкий №877,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0259,Соус сухарный №878,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0260,Горошек зеленый быстрозамороженный,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0261,Кукуруза,STRUCTURAL_PARENT,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0262,Артишок,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0263,Мускатный орех,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0264,Лавровый лист,A_REFERENCE,EXACT_EXISTING,BAY_LEAF,HIGH,NO
ING-0265,Перец горошком,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0266,Сода пищевая,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0267,Кольраби,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0268,Сморчки свежие,B_MULTI_SOURCE_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0269,Картофель жареный №353,STRUCTURAL_PARENT,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0270,Картофель жареный №354,STRUCTURAL_PARENT,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0271,Грибы в сметанном соусе №369,A_INTERNAL_DERIVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0272,Картофельное пюре №326,A_INTERNAL_DERIVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0273,Котлеты картофельные №357,A_INTERNAL_DERIVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0274,Котлеты морковные №361,A_INTERNAL_DERIVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
