external_ingredient_id,external_name,external_exactness_tier,map_state,familyfoodos_food_code,mapping_confidence,nutrition_profile_promoted
ING-0029,Макаронные изделия в/с,A_REFERENCE,ALIAS_EXISTING,PASTA_DRY,HIGH,NO
ING-0030,Маргарин молочный,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0031,Масло растительное рафинированное,A_REFERENCE,UNRESOLVED,,HIGH,NO
ING-0032,Масло сливочное несоленое,A_REFERENCE,EXACT_EXISTING,BUTTER_UNSALTED,HIGH,NO
ING-0033,Минтай,B_PARTIAL_REFERENCE,ALIAS_EXISTING,POLLOCK_ALASKA,HIGH,NO
ING-0034,"Молоко пастеризованное 3,2%",A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0035,Морковь красная,A_REFERENCE,ALIAS_EXISTING,CARROT,HIGH,NO
ING-0036,Мука пшеничная в/с,A_REFERENCE,ALIAS_EXISTING,FLOUR_WHEAT,HIGH,NO
ING-0037,Огурец свежий,A_REFERENCE,ALIAS_EXISTING,CUCUMBER,HIGH,NO
ING-0038,Огурцы соленые,B_MULTI_SOURCE_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0039,Перец зеленый сладкий,A_REFERENCE,ALIAS_EXISTING,BELL_PEPPER_GREEN,HIGH,NO
ING-0040,Перец черный,A_REFERENCE,ALIAS_EXISTING,BLACK_PEPPER,HIGH,NO
ING-0041,Петрушка (корень),A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0042,Сахар-песок,A_REFERENCE,EXACT_EXISTING,SUGAR,HIGH,NO
ING-0043,Свекла,A_REFERENCE,EXACT_EXISTING,BEET,HIGH,NO
ING-0044,Свинина котлетная,C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0045,Смесь сухофруктов,UNRESOLVED,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0046,Сметана 20% жирности,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0047,Сметана 30%,A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0048,Сок морковный,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0049,Сок томатный,UNRESOLVED,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0050,Соль поваренная,B_REFERENCE,EXACT_EXISTING,SALT,HIGH,NO
ING-0051,Соус красный основной,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0052,Соус сметанный,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0053,Сухари сливочные (аппроксимация панировки),A_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0054,Сыр голландский,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0055,Сыр российский (proxy для твердого сыра),C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0056,Творог полужирный,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0057,Творог нежирный,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0058,Томат свежий,A_REFERENCE,ALIAS_EXISTING,TOMATO,HIGH,NO
ING-0059,Томат-пюре,A_REFERENCE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0060,Треска,A_REFERENCE,UNRESOLVED,,HIGH,NO
ING-0061,Фасоль сухая,A_REFERENCE,UNRESOLVED,,HIGH,NO
ING-0062,Хек,B_PARTIAL_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0063,Хлеб пшеничный из муки высшего сорта,A_REFERENCE,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0064,"Хлопья овсяные ""Геркулес""",A_REFERENCE,ALIAS_EXISTING,OATS_ROLLED,HIGH,NO
ING-0065,Чай (заварка),UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0066,Чернослив,B_REFERENCE,FORM_SPLIT_CANDIDATE,,HIGH,NO
ING-0067,Чеснок,A_REFERENCE,EXACT_EXISTING,GARLIC,HIGH,NO
ING-0068,Шиповник сушеный,UNRESOLVED,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0069,Жир кулинарный,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0070,Яблоки,A_REFERENCE,ALIAS_EXISTING,APPLE,HIGH,NO
ING-0071,Яйцо куриное,A_REFERENCE,ALIAS_EXISTING,EGG,HIGH,NO
ING-0072,Капуста квашеная,B_PARTIAL_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0073,Салат листовой,A_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0074,Майонез,B_COMPATIBLE_REFERENCE,FORM_SPLIT_CANDIDATE,,MEDIUM,NO
ING-0075,Соус Южный,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0076,"Fat, chicken",C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0077,Репа,A_REFERENCE,EXACT_EXISTING,TURNIP,HIGH,NO
ING-0078,Петрушка зелень,A_REFERENCE,ALIAS_EXISTING,PARSLEY,HIGH,NO
ING-0079,Изюм,B_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0080,Ванилин,UNRESOLVED,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0081,Тесто дрожжевое №1089,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0082,"Jams and preserves, apricot",C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0083,"Egg, whole, raw, frozen, pasteurized",C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0084,Соус молочный №859,C_PROXY,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0085,"Capers, canned",B_REFERENCE,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0086,"Mushrooms, canned, drained solids",C_PROXY,NEW_FOOD_CANDIDATE,,MEDIUM,NO
ING-0087,Капуста тушеная №342,A_INTERNAL_DERIVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0088,Макароны отварные,C_INTERNAL_NORMATIVE,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0089,Омлетная смесь №467,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0090,Соус белый №854,UNRESOLVED,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
ING-0091,Соус томатный №857,B_VARIANT_COMPONENT,COMPOSITE_OR_PROCESS_OUTPUT,,HIGH,NO
